Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:00 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:00 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:00 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:00 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:03 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:03 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:03 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:03 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:37:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:37:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:03 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:03 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:03 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:03 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:39:53 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:40:25 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:40:25 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:40:25 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:40:25 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:44:34 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:44:34 GMT | INFO | loggers.log | User is connect to Socket IO  | 
